Airline Name,Overall_Rating,Review_Title,Review_Date,Verified,Review_Text,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
LOT Polish Airlines,6,“seats LOT still offers have a fatal flaw”,16th September 2024,True,"TOKYO/NRT to WAW with LO80 on 17 AUG and back with LO79 on 29 AUG, in Business Class for both legs. I took the LOT flight for the first time in 4 and a half years. Before boarding, I knew LOT’s long-haul business class seat remains unchanged from my previous flight. That was why I thought I could get a tight sleep on a fully lie-flat bed despite no privacy around it. Something strange happened, however. The story is as follows. LO80 departs from NRT at 22:50. After taking off, I reclined my seat to the lie-flat position and fell asleep. In a couple of hours, I woke up. Surprisingly, I found my cell phone missing. I searched for it for 15 minutes but in vain. A neighbor advised me to ask for some help from a flight attendant and I followed her advice. In the meantime he came. He adjusted back my seat to the original position and took off the seat cushion deftly. I felt relieved that he had salvaged it from deep inside. It fell through a gap produced while I was reclining it. I aver this kind of happening is not rare because my neighboring passenger on the returning flight suffered from the same situation. Needless to say, I suggested that he ask for a flight attendant. I learned that those seats LOT still offers have a fatal flaw, that is, almost no storage room. As far as an in-flight meal goes, I propose that Japanese meal be avoided. I also remember that a female attendant looked a little puzzled when I requested an individual dinner the trouble mentioned above. They may not be accustomed to taking individual care of business class passengers. No Wi-Fi service is available, on the other hand, the in-flight entertainment is limited. That said, LOT is still attractive in that they have the extensive network in Central and Eastern Europe whose hub is Warsaw Chopin Airport and the round-trip business class fare presented by LOT between Japan and Europe is two-thirds of ones by JAL and ANA.",Boeing 789,Solo Leisure,Business Class,Tokyo Narita to Warsaw,August 2024,2.0,3.0,2.0,2.0,1.0,,4,yes
LOT Polish Airlines,1,"""Avoid LOT at all cost""",11th September 2024,True,"The staff at the boarding gate communicated with people as if they were soldiers, and we were second class citizens. No politeness, no style, no elegance, only rudeness. Basically they were giving orders as you would do with animals. Then later on I decided to add an extra checked in luggage online for the return flight but their website did not work, and I could not do that. I started a WhatsApp chat with their Customer service at 15:46 yesterday, and they answered at 9:57 am the next day. The customer agent was like a parrot, kept ignoring my questions, and kept repeating the same questions over and over rather annoyingly. Generally they are angry by default, with a lot of passive aggression. Avoid LOT at all cost.",Embraer,Business,Economy Class,Warsaw to Budapest,September 2024,3.0,3.0,,1.0,,,1,no
LOT Polish Airlines,1,"""refrain from flying with LOT""",11th September 2024,True,"Delayed 2.5 hours from London Heathrow to Warsaw. Useless announcements at the gate why it's delayed - due to late arrival then for operational reasons then we don't know yet then boarding in the next 10-15 minutes then in the next 15-20 minutes then in the next 20-25 minutes then unscheduled maintenance then departure rescheduled at 14.00 then changed to 12.20. They have no clue what they were talking about. In the plane crew announced completely different reasons. Rubbish service. On board crew didn't approach to take the order from SkyBar menu. Even after pressing attendant button, no one approached until the plane landed. Useless crew, useless attention, useless service, useless communication. Going to refrain from flying with LOT.",,Business,Economy Class,London to Warsaw,September 2024,1.0,1.0,1.0,1.0,1.0,1.0,1,no
LOT Polish Airlines,2,"""Extremely disappointed""",5th September 2024,True,"Extremely disappointed. First trip ever with lot, and definitely the last trip. I flew with my family (total of 5). The airline is not organized at all, and their agents do not care as they always replied with ""I don't know""! They even skipped us while serving the drinks, then they stated it was by mistake. No tv screens on the flight. They cancelled the return flight and told us to arrange a way home. This cost me an additional large amount of money. Their airport in Warsaw is very small and boring. I returned home on Emirates.",,Family Leisure,Economy Class,Toronto to Beirut via Warsaw,July 2024,1.0,1.0,1.0,1.0,1.0,1.0,1,no
LOT Polish Airlines,1,“everything against customers”,28th August 2024,False,"Horrible service information and disinformation, staff not following their own recommendations, everything against customers to charge more to give less.",,Business,Economy Class,Chicago to Warsaw,August 2024,1.0,1.0,,1.0,,,1,no
LOT Polish Airlines,1,"""experienced significant challenges""",28th August 2024,True,"I have experienced significant challenges with LOT Polish Airlines, as my flight was canceled three times in July 2024. I would advise potential travelers to consider their options carefully. It is essential for airlines to prioritize passenger care to maintain their reputation. I kindly urge you to take responsibility regarding the handling of my flights.",,Family Leisure,Economy Class,Toronto to Warsaw,July 2024,1.0,1.0,1.0,1.0,1.0,1.0,1,no
LOT Polish Airlines,2,"""run in with one flight attendant""",22nd August 2024,True,"The food is barely edible as it is, it is what it is. I have flown Lot since 1987 and for most part they have excellent pilots that provide a very comfortable flight. However their ground crew at check in is awful. I also had a run in with one flight attendant that wouldn't allow my carry on in the over head compartment and wanted it on my lap for a 10 hour flight. No reason, she just wanted it her way. Luckily another passenger stepped in and took my side. For the rest of the flight she was giving me dirty looks. Extremely unprofessional. On my most recent flight after check in and security, and everything cleared, I was also stopped by a LOT check in clerk that wouldn't allow me to bring folding fishing poles on board.  She even called in airport security.  I asked for a manager since I cleared it with LOT office before even bringing them. Turned out, The flight crew was lovely and gracious and basically told that clerk to sit down. But to be this hostile to a customer was just terrible.",,Family Leisure,Economy Class,Kraków to Chicago,August 2024,2.0,3.0,3.0,1.0,4.0,1.0,2,no
LOT Polish Airlines,2,"""fly LOT and have a LOT of problems""",14th August 2024,True,"As some will say, fly with LOT and you will have a LOT of problems. Even simple tasks like adding second baggage online are complicated. Originally, I booked a flight with one piece of baggage. Then I realized I will need one more. So, I pay online for the second one. My CC payment was accepted. Then when I arrived at the airport, a surprise. I was told that online payment is for 1pcs baggage but is valid for return Flight? And to check-in my second baggage I must pay almost double, 140.00 USD in cash only! Credit Card terminal is not working! Imagine this, major international airport and LOT is unable to accept Credit Cards payments?! What a Shame. Next, I ask to apply amount I already paid towards second baggage payment, since I never intended to carry any baggage on return Flight. Nope, this cannot be done. OK, I shelled out $140 cash and asked to refund my payment to CC. Nope this cannot be done either. I can only get a voucher for a similar service on the same route and must use it within 2 years. Thanks, but no thanks. I want my money back. The LOT representative was no help, supervisor was unavailable. I disputed this charge with CC. And guess what? LOT claim, that I have check-in baggage on return flight! No refund. Fortunately, I found a return flight Boarding Pass. And it is back on white - 0 Pices of baggage - 0Kg. What a LOT of robbers. Take my advice if you can consider choice of alternative airlines.",,Business,Business Class,New York to Warsaw,July 2024,1.0,2.0,3.0,1.0,2.0,1.0,2,no
LOT Polish Airlines,1,"""a journey I’d rather forget""",14th August 2024,False,"I had an incredibly frustrating experience with LOT Polish that I hope no one else has to endure. Red eye flight was canceled, leaving families with kids stranded without any sort of communication. Refunds are NON EXISTANT. You have to call a certain number that is auto-recorded! It was a journey I’d rather forget. I would strongly advise considering other airlines if you value comfort and reliability.",,Solo Leisure,Economy Class,New York to Warsaw,July 2024,1.0,1.0,1.0,1.0,1.0,1.0,1,no
LOT Polish Airlines,1,“just a big scam organization”,13th August 2024,True,"Our flight was canceled due to problems at the airport, we had to buy new tickets at the airport (cash only because they said the system was down) for which we would receive the invoice later on by e-mail. Obviously this did not happen, LOT claimed that it was done through an agency at the airport, but they are also not prepared to provide information from the agency. This is just a big scam organization.",,Couple Leisure,Economy Class,Warsaw Chopin to Brussels,July 2024,2.0,2.0,,1.0,,,1,no
LOT Polish Airlines,1,“customer service is incredibly unhelpful”,7th August 2024,False,"Title: Terrible Customer Service - Refused Refund Despite Legal Cancellation Rights. I recently booked two flights with LOT Airlines but had to cancel the booking within 30 minutes of purchase due to a change in plans. According to consumer protection laws, I should have had 24 hours to cancel for a full refund, but LOT Airlines has refused to honor this. Their customer service has been incredibly unhelpful, and they seem to be ignoring their legal obligations. I've tried multiple times to resolve this issue, but each attempt has been met with resistance and dismissive responses. I would strongly advise against booking with LOT Airlines, as they clearly have no respect for their customers or the laws designed to protect them. I’m now left disputing the charges with my credit card company, which is an unnecessary hassle. Save yourself the trouble and choose a more reputable airline. LOT Airlines is not worth the risk.",,Couple Leisure,Economy Class,Chicago to Warsaw,July 2024,1.0,1.0,1.0,1.0,1.0,1.0,1,no
LOT Polish Airlines,1,"""worst customer service""",30th July 2024,True,The worst customer service. Very rude people. They cancelled my ticket. This is my first flight and feel like this is a scam.,,Family Leisure,Economy Class,Tirana to Warsaw,June 2024,1.0,,,1.0,,,2,no
LOT Polish Airlines,1,"""never fly this airline""",12th July 2024,False,"Most of the premium seats are in terrible condition and broken. Was offered a replacement that was a less broken seat, and the crew ended up giving the seat to someone to another passenger and that passenger decided to start an argument with me and crew decided to go along with it. I was told this is not America, these are Polish rules. I told the staff that I was going to email corporate, but they stated they don't care. What an unbelievable experience. By FAR the worst in my entire life and I travel a lot. I sent an email to corporate, but they gave a scripted response that was terrible and basically stated that we are not responsible for our bad behavior passengers. That wasn't the point. What about the premium seats that work broken? I listed three times in the email but they didn't respond or care about it and it make the situation even more comical, the seats on the return flight also broken! Please, never fly this airline and avoid at all costs.",Boeing 787-900,Family Leisure,Premium Economy,Chicago to Warsaw,June 2024,1.0,1.0,1.0,4.0,1.0,1.0,1,no
LOT Polish Airlines,5,"""tv screen was not working""",8th July 2024,True,My tv screen was not working. I keep on asking crew about it they told me that after giving drinks service they will look into it. After 1.30 min I told them that they must do something about it. Crew told me tat they have tried but they are sorry they cant do anything about it. They offer me a small shot of polish vodka free of cost from skybar as they feel sorry about my trouble. Mine was a 6 hour flight my seat number was 12 b. I have spend 6 hours without any entertainment. I keep on trying to on the tv screen. In the end I just gave up. I feel if I have taken Qatar Airways in place of LOT maybe I will be better. On our LOT flight beer was finished and there was no alcoholic drinks served. Food was very normal and the crew simply does not care about passengers. They keep on doing there meal service & they will come back to you when they are free. Overall if you have choice of airlines then don't go for lot. One more thing the line at Warsaw Airport for passport holders was too long it take 1 hour for us to get a stamp. Honestly that's a very slow service.,,Couple Leisure,Economy Class,Warsaw to Delhi,July 2024,3.0,3.0,2.0,1.0,1.0,1.0,3,no
LOT Polish Airlines,1,"""Really bad experience""",7th July 2024,True,"LOT has cancelled my connecting flight to from Krakow to Warsaw at the last minute. I had to pay over $300.00 to get from Krakow to Warsaw by Taxi to make the return flight to Newark, USA. LOT refunded me $62.00 for the cancelation with no option to question or contest the amount. Really bad experience. Don't bother with this airline. Use other airlines to travel to Poland.",,Solo Leisure,Economy Class,Krakow to Newark via Warsaw,June 2024,1.0,1.0,3.0,1.0,1.0,1.0,1,no
LOT Polish Airlines,1,"""don't want to refund the full amount""",29th June 2024,True,"Last year, I flew LOT, and was stuck in the airport in LAX for 1,5 days. LOT kept on delaying and canceling the flight. Finally they got us home. This was due to technical issues. Today I am supposed to fly to Miami, but yesterday at 1715, they canceled the flight. I spend 6 hours on the phone trying to get through to them and finding a solution. All they would offer is a flight in 3 days from now. And to wait 2 days I Warzaw. I wanted to cancel the ticket and get my money back, but they don't want to refund the full amount because they offered me a flight in 3 days. I can only say. Don't fly with them. They call themselves an airline, but in reality they don't fly anywhere. I ended up buying new tickets with a real airline, and I do go today as planned. But to a different destination and at a higher cost plus LOT don't even want to refund my money. This airline is one big scam. Steal your money and never flies you anywhere, and if you want your money back from the flight they never did, then they also steal a part of that. If you want to fly anywhere, don't use LOT.",,Business,Economy Class,Rzeszów to Miami via Warsaw,July 2023,,,,,,,1,no
LOT Polish Airlines,9,“a great flight with LOT”,28th June 2024,True,"This was not my first time flying with LOT, and any previous flights with them has been quite good. This one was no exception, I therefore wanted to write this review. To give them a little credit. Firstly, the booking site has gone through some upgrades since last time, something that I was very happy to see. The ticket price was also not that bad (for a legacy airline), and cheaper than KLM or Lufthansa I could have flown on this route. As far as I am concerned you can find affordable prices on LOT even a few days prior to departure. The price you pay and the value you get on board LOT is also comparable, and in my opinion much better than other large European legacy carriers. For example: - I was offered to check in my carry-on baggage free of charge at the check-in counter, something that was a pleasant surprise - You actually get a decent onboard complimentary service, even on the domestic part of the journey, with several drinks for you to choose, and a savoury or sweet bun. - Comfortable and spacious seat with power outlets and a decent recline but I have to admit that there were things that could be better: - We had a bus-boarding in both Wroclaw and in Warsaw. That is of course nothing special, especially in the rush-hours at polish airports. However, all the passengers from an Embraer was squished into a small bus, something that wasn’t exactly comfortable in 30*C. I would have expected that on Ryanair or Wizzair, but I have to admit that I was a little surprised that this was a normal procedure at LOT too. And of course, I can’t wait for LOT to get their new planes, as they really could need a little upgrade to make the overall experience even better. All in all, a great flight with LOT, highly recommended.",Embraer 195,Solo Leisure,Economy Class,Wroclaw to Oslo via Warsaw,June 2024,4.0,5.0,5.0,3.0,4.0,,5,yes
LOT Polish Airlines,1,“the price is reasonable”,21st June 2024,True,"It was really nice. The flight attendants were kind and welcomed with laughter. The AVOD was great. I remember that the in-flight meal was really delicious and the snack bar later served Shin Ramen for free. Most of all, I want to compliment LOT Polish Airlines because the price is reasonable. At that time, I was going to Budapest, Warsaw, and Incheon, and the price of Korean Air's flight ticket was 3 million won, while LOT was 1.5 million won, half of that.",Boeing 787-9,Family Leisure,Economy Class,Incheon to Warsaw,December 2023,5.0,5.0,5.0,5.0,5.0,,5,yes
LOT Polish Airlines,1,“Poor and rude customer service”,17th June 2024,True,"Firstly, they cancelled our flight and gave a new date almost a week later. And on day of my flight it got delayed for more than 4 hours and when I reached Poland for my connecting flight, they said now we have to wait for more 24 hours for next flight. Poor and rude customer service. And they havent provided any accomodation , no food.",,Solo Leisure,Economy Class,Poland to Toronto,June 2024,1.0,1.0,1.0,1.0,1.0,1.0,1,no
LOT Polish Airlines,1,"""An efficient airline""",17th June 2024,True,"First flight departed on time despite late arrival from previous destination. Boarding fast and efficient. Seats with enough leg space (no emergency exit seats on this small aircraft). Cabin crew polite, they served snack and water or tea. Short connection in Warsaw, but they managed to transfer the luggage as well. The second leg departed on time, same seats, same service. An efficient airline.",Embraer 175,Solo Leisure,Economy Class,Vilnius to Bucharest via Warsaw,June 2024,5.0,5.0,2.0,5.0,,,4,yes
LOT Polish Airlines,3,"""frustrating and unacceptable""",9th June 2024,True,Our flight has been delayed by over an hour. No reason or apology provided to the passengers. This is really very frustrating and unacceptable - I will not be recommending the airline.,,Business,Economy Class,Warsaw to Geneva,June 2024,3.0,2.0,4.0,1.0,,,3,no
LOT Polish Airlines,1,"""Cabin crew polite and friendly""",8th June 2024,True,"Boarding in Bucharest by bus, flight in time. Aircraft with new-ish look, 2-2 seat arrangement. Cabin crew polite and friendly, served a snack and water/coffee during the flight. No charging facilities, no WiFi. Arrived ahead of schedule. A nice surprise from LOT.",Embraer,Solo Leisure,Economy Class,Bucharest to Warsaw,June 2024,5.0,5.0,4.0,5.0,,,4,yes
LOT Polish Airlines,1,"""The staff are so rude""",11th May 2024,True,"1 star is too much for this company! All the flights are delayed, the luggage are also delaying! A lot of people waiting and complaining. We miss our connection flight because the first flight delayed 5 hours. The staff are so rude, they offer solutions for the next 24 hour or 2 days to wait for a flight. And they rudely say ""that's what we have, you can take your passport and leave"".",,Family Leisure,Economy Class,Madrid to Tel Aviv via Warsaw,May 2024,1.0,1.0,1.0,1.0,1.0,1.0,1,no
LOT Polish Airlines,2,"""not recommend to travel with LOT""",6th May 2024,True,"LO190 morning flight Tashkent to Warsaw on May 6th 2024. Economy class. No online check-in available ( local regulation). Boarding extremely slow and badly organised by airport staff. We spent 40 minutes in a bus (no AC, outside temperature 28 C) waiting. Finally we reached the plane - Boeing 737 Max. The temperature inside the plane was also very high. After another 25 minutes spent in a plane - still no air condition - some passengers started to complain on shortness of breath. Cabin crew offered them water. Departure was delayed approximately 20 minutes. Aircraft in a very basic version, typical for low cost carriers. No entertainment system, no WiFi. Uncomfortable narrow seats, very small, dirty, sticky table. After take off a modest breakfast was served on a tray. Beef goulash or chicken cutlet - quite strange choice for breakfast? The meal was followed by tea, coffee, drinks, red and white wine (cheap house option). Other alcoholic beverages were available for sale. There was one toilet in front of the plane for 6 premium class passengers and two toilets in the back for 180 economy passengers. The flight was 6 hours 20 minutes. Can you imagine this queue to economy toilets?  Ladies from cabin crew were focused on safety belts and their make up mainly, incidentally were really rude to some customers. Before landing in Warsaw a mystery pie and drinks were offered. The pie was covered with foil with no description. Arrival at destination airport was 25 minutes delayed. In summary, I would not recommend to travel with LOT on this route unless you want to spend more than 6 hours in a queue to toilet, without any entertainment system, having bad food served by unpleasant staff.",Boeing 737 max,Couple Leisure,Economy Class,Tashkent to Warsaw,May 2024,2.0,2.0,1.0,1.0,1.0,1.0,2,no
LOT Polish Airlines,6,"""experience slightly painful""",1st May 2024,True,"Night flight LO189 from Warsaw to Tashkent on April 30th, 2024. Duration 5 h 40 minutes. Economy class. Pretty new Boeing 737 max in a very basic version. Tight, narrow legroom, seats not really comfortable. No entertainment system!! Departure/arrival on time. After take off a modest hot dinner has been served ( choice of vegetarian lasagna and beef goulash) followed by small cake and drinks. Red and white wine offered free of charge other alcohol beverages available for purchased. Snacks and water available at the galley during the whole flight. Before landing sweet cake and tea or coffee have been distributed. Crew members - five young women - were fast and effective but strangely gloomy - they smiled a little bit (artificially) in a premium class only. There is no business class on this flight - first rows are called premium ( middle seat left empty, alcoholic beverages for free). In summary, the flight was just ok. Lack of any entertainment system and tight seats on nearly 6 hours flight make this experience slightly painful.",Boeing 737 max,Couple Leisure,Economy Class,Warsaw to Tashkent,April 2024,2.0,3.0,4.0,3.0,1.0,1.0,3,yes
LOT Polish Airlines,5,"""flight wasn't memorable""",28th April 2024,True,"I flew from Warsaw to Seoul and back. Before the first flight, boarding was performed by bus to very remote location. Cabin was cramped (poor legroom) and a bit worn but still pleasant. Appreciate snack & drink service before lunch with free beer or wine. Lunch so-so in terms of quality and quantity. Fortunately there were free snacks in the galley. On the way back there was significant delay. IFE system was to some degree broken (but content was quite good) and food was mediocre. I don't like that they dim the cabin automatically (B787 feature) even during day flights. Cabin crew was quite polite and helpful. Summarizing the flight wasn't memorable but also not very bad. I recommend only if found good offer for reasonable price.",Boeing 787-8/9,Solo Leisure,Economy Class,Warsaw to Seoul,April 2024,2.0,3.0,2.0,4.0,2.0,1.0,3,yes
LOT Polish Airlines,1,"""worst airline I ever flew""",27th April 2024,True,"The worst airline I ever flew with. When I was buying tickets, it said that with Miles&More program I get free 23kg check baggage. Even on their page they mention it. However, during check-in they force me to buy baggage. When I wrote to support, they have response time 30 days. Really terrible service. Worse than budget airlines.",,Couple Leisure,Economy Class,Budapest to Seoul via Warsaw,April 2024,1.0,1.0,1.0,1.0,1.0,1.0,1,no
